Highlight,Summary
"limitation of liability to the maximum extent permitted by applicable law, tumblr and the tumblr affiliates shall not be liable for: (a) any indirect, incidental, exemplary punitive, or consequential damages of any kind whatsoever.","At most, Tumblr's legal responsibility is limited to the amount you've paid or $100."
"registration, tumblr urls, and security as a condition to using certain of the services and in order for us to provide them to you, you may be required to create an account (an account), provide your age and an email address and select a password and tumblr username, which will serve as a default link to your default tumblr blog of the form [username].tumblr.com (a tumblr url).","When using Tumblr, you need an account and have to provide some personal info."
we can also terminate or suspend any account at any time.,Tumblr can end your account at any time for any reason.
"content license to you: as a subscriber of the services, tumblr grants you a worldwide, revocable, non-exclusive, non-sublicensable, and non-transferable license to download, store, view, display, perform, redistribute, and create derivative works of content solely in connection with your use of, and in strict accordance with the functionality and restrictions of, the services (including, without limitation, paid services, as defined below).","Tumblr gives you a limited right to use the content it provides, following their rules."
"in cases where we do not ask for your explicit agreement to a modified version of this agreement, but otherwise provide notice as set forth above, the modified version of this agreement will become effective fourteen days after we have posted the modified agreement and provided you notification of the modifications.","Tumblr will let you know about changes to these terms, and if you keep using the services, it means you accept them."
"processing of the information you share with tumblr is essential to the personalized services which we provide and which you expect, including personalized content (as described below) and ads, and is a necessary part of our performance of the agreement we have with you.",Your use of Tumblr includes processing your data for personalized services like ads.
"an example of what it means to make all publicly-posted content available to a tumblr partner for distribution or analysis would be licensing the tumblr firehose, a live feed of all public activity on tumblr, to partners like search engines.",Tumblr might use data from all public posts for services like analysis by search engines.
you understand and agree that the services are provided to you on an as is and as available basis.,You understand that Tumblr services might have problems and are using them knowing this.
"accepting the terms of service please read these terms of service and our community guidelines (collectively, the agreement) carefully before using tumblr.com (the site) and/or the other domains, websites, products, applications, mobile applications, services, and/or content provided by tumblr, inc","By using Tumblr, you agree to follow these terms and Tumblr's community guidelines."
"you agree that any claim or dispute you may have against tumblr must be resolved exclusively by a state or federal court located in new york county, new york, except as otherwise agreed by the parties.",Any legal issues with Tumblr must be dealt with in New York courts.
"by using or accessing the services, you (subscriber or you) agree to be bound by all the terms and conditions of this agreement.","By using Tumblr, you agree to these terms."
"tumblr may change, suspend, or discontinue any or all of the services at any time, including the availability of any product, feature, database, or content (as defined below).",Tumblr can stop offering services or content at any time.
paid services are limited licenses for you to use particular for-pay aspects of the services.,"Paid services on Tumblr are just special permissions, not an exchange of ownership."
"if tumblr does not receive any such notification within ten (10) days, we may restore the material to the services.","If Tumblr puts your content back after a copyright claim and the claimant doesn't go to court, your content stays restored."
tumblr may also impose limits on certain services or aspects of those services or restrict your access to parts or all of the services without notice or liability.,Tumblr can limit your access to parts of the services or to all of the services without telling you.
"to the maximum extent permitted by applicable law, the total liability of tumblr and the tumblr affiliates, for any claim under this agreement, including for any implied warranties, is limited to the greater of one hundred dollars (us $ ) or the amount you paid us to use the applicable service(s).",Tumblr's legal responsibility is up to the amount you've paid or $100.
"you agree to provide tumblr with accurate, complete, and updated registration information, particularly your email address.",You must keep your email address updated on Tumblr.
"your rights in subscriber content: subscribers retain ownership and/or other applicable rights in subscriber content, and tumblr and/or third parties retain ownership and/or other applicable rights in all content other than subscriber content.","You own the content you post on Tumblr, and Tumblr or third parties own all other content."
"all provisions of this agreement that by their nature should survive termination shall survive termination, including, without limitation, ownership provisions, warranty disclaimers, and limitations of liability.","Some parts of this agreement will still apply after it ends, regarding ownership, warranty disclaimers, and limits of liability."
choice of law and venue you and tumblr agree that we will resolve any claim or controversy at law or equity that arises out of this agreement or the services in accordance with this section or as you and tumblr otherwise agree in writing.,Legal issues with Tumblr are handled according to the laws of New York or as agreed in writing.
"this agreement is not assignable, transferable, or sublicensable by you except with tumblrs prior written consent.",You can’t give your rights under this agreement to someone else without Tumblr's agreement.
"special provisions for promotions some features of the services may allow you to promote yourself to other subscribers, and some of these features may be paid services (promotions).",Tumblr offers paid services that can help you promote your content.
"law and forum for legal disputes: this agreement shall be governed in all respects by the laws of the state of new york as they apply to agreements entered into and to be performed entirely within new york between new york residents, without regard to conflict of law provisions.","Legal issues with Tumblr follow New York law, without regard to conflicting legal principles."
"if you do not agree to the modifications, you are not permitted to use, and should discontinue your use of, the services.","If you don't agree to changes in Tumblr's terms, you should not use the services anymore."
"tumblr may also terminate or suspend accounts (as defined below) at any time, in its sole discretion.",Tumblr can cancel or suspend accounts for any reason.
"however, you acknowledge and agree that: (a) deleted subscriber content may persist in caches or backups for a reasonable period of time and (b) copies of or references to the subscriber content may not be entirely removed (due to the nature of reblogging, for example).",Deleted content from your Tumblr account might still exist in caches or backups for a while.
termination of your account or your rights under this agreement may result in forfeiture of purchased paid services.,"If your Tumblr account ends, so do your rights under the agreement, which might mean losing paid services."
"modifications to this agreement tumblr reserves the right to modify this agreement by (1) posting a revised agreement on and/or through the services and (2) providing notice to you that this agreement has changed, generally via email where practicable, and otherwise through the services (such as through a notification on your tumblr dashboard or in our mobile applications).",Tumblr can change the terms at any time and will tell you when they do.
"unless otherwise specified, tumblr does not guarantee any activity that promotions may receive, including but not limited to clicks, likes, and reblogs.",Tumblr does not guarantee specific results from promotions.
"by using the services you agree you have read the privacy policy, which describes our collection, use, and sharing (as set forth in the privacy policy) of such information, including the transfer of this information to the united states and/or other countries for storage, processing, and use by tumblr and the tumblr affiliates (as defined below).","By using Tumblr, you agree to how they collect, use, and share your information as described in their privacy policy."
tumblr may assign this agreement in whole or in part at any time without your consent.,Tumblr can give this agreement to someone else at any time without asking you.
"subscriber content license to tumblr: when you provide subscriber content to tumblr through the services, you grant tumblr a non-exclusive, worldwide, royalty-free, sublicensable, transferable right and license to use, host, store, cache, reproduce, publish, display (publicly or otherwise), perform (publicly or otherwise), distribute, transmit, modify, adapt (including, without limitation, in order to conform it to the requirements of any networks, devices, services, or media through which the services are available) , and create derivative works of, such subscriber content.","By posting content on Tumblr, you allow them a broad license to use it."
this is a contract between you and tumblr.,This document is your contract with Tumblr.
