Highlight,Summary
"if you believe that your copyright or intellectual property rights have been infringed, please follow the instructions provided here content in the services and license grant to verizon media content.","If you believe your copyright or intellectual property rights have been infringed, please follow our provided instructions."
"unless you and we agree otherwise, the arbitration must take place, or the small claims action must be filed, in the county of your primary residence or santa clara county, california","If there's a legal case, it should be where you live or in Santa Clara County, California."
"if you are using the services on behalf of a company, business or other entity, or if you are using the services for commercial purposes, you and the entity will hold harmless and indemnify the verizon media entities (defined in section 8 below) from any suit, claim or action arising from or related to the use of the services or violation of these terms, including any liability or expense arising from claims (including claims for negligence), losses, damages, suits, judgments, litigation costs and attorneys fees.","If you use the services for business, you'll protect us from any lawsuits or claims related to your use or misuse of the services."
you may cancel a fee-based service at any time by logging into your online account and terminating the subscription,You can cancel a subscription service anytime by logging into your account and ending the subscription.
"in some of the services, there may be specific terms or settings allowing a different scope of use of the content submitted in those services.",There may be different terms or settings that change how you can use the content in the services.
"we assume no responsibility for the conduct of third parties, including persons or entities with which you communicate using the services.",We are not responsible for how other people behave on our services.
"unless otherwise stated in section 14, your subscription will be automatically renewed at the then-current price, excluding promotional and discount pricing.",Subscriptions automatically renew at the current rate unless you or we cancel it.
"these terms do not allow class or collective arbitrations, even if the aaa procedures or rules would.",You can't sue us as part of a class or group lawsuit.
minimum age: legal age to form a binding contract in your province or territory of residence,You must be of legal age to form a contract to use our services.
these fee-based services are governed by the additional terms you agree to when you register for the fee-based service and these terms.,Fee-based services are covered by extra terms you agree to when you register.
"we may remove and refuse to display content that violates the terms or applicable laws or regulations, but that does not mean that we monitor the services or review or screen any content.",We can remove or refuse content that violates our terms or the law.
