Highlight,Summary
"upon your access of any purchased content, you and the publisher will enter into a separate agreement, pursuant to which you agree to pay the specified fees for the content and the publisher agrees to make such content available to you.","If someone buys your content, you have a separate agreement with them."
(c) your violation of these terms.,"If you break these terms and the company gets sued, you have to pay for it."
"release to the fullest extent permitted by applicable law, you release the company and the other company parties from responsibility, liability, claims, demands and damages (actual and consequential) of every kind and nature, known and unknown (including, but not limited to, claims of negligence), arising out of or related to disputes between users and the acts or omissions of third parties.",You can't blame the company or demand money from them for issues caused by other people's use of the service.
h) use the services to distribute content that you do not have the lawful right to distribute or reproduce.,Don't share content you don't have the legal right to share.
"no class arbitrations, class actions or representative actions any dispute arising out of or related to these terms or the services is personal to you and the company and will be resolved solely through individual arbitration and will not be brought as a class arbitration, class action or any other type of representative proceeding.",You can't join a class action lawsuit about these terms or the services.
copyright complaints we have a policy of limiting access to our services and terminating the accounts of users who infringe the intellectual property rights of others.,"If you use someone else's content without permission, your access to the service could be cut off."
"if you do not agree to the modified terms, you must stop using the services.","If you don't like new changes to the terms, you have to stop using the service."
you are solely responsible for backing up any content.,Make sure to keep backups of your content.
"in particular, but without limitation, the software may not be exported or re-exported (a) into any u.s",You can't use the service if you are in certain countries or on certain U.S. lists.
"governing law and venue these terms and your access to and use of the services will be governed by and construed and enforced in accordance with the laws of the state of delaware, without regard to conflict of law rules or principles (whether of the state of delaware or any other jurisdiction) that would cause the application of the laws of any other jurisdiction.","The laws of Delaware, U.S.A., will apply to these terms and the service."
"additionally, some jurisdictions do not allow the exclusion or limitation of incidental or consequential damages, so the above limitations or exclusions may not apply to you",Some laws don't allow the company to limit its responsibility for certain damages.
we are not able to delete or remove content that has been published through lbry and that may be accessible via the services.,"Once something is on LBRY, the company can't delete it, although they might block it on their apps."
"you agree to look solely to the publisher to resolve any disputes regarding content, and that publishers are solely responsible for providing any refunds",Only the person who sells you content is responsible for giving refunds or dealing with problems about the content.
"lbry also allows publishers to bid on and reserve names ( names ), which can be used as a unique identifier for content.",LBRY lets publishers bid on names that can be used to identify content uniquely.
"export control and prohibited use use of the service and software, including transferring, posting, or uploading data, software or other content via the service, may be subject to the export and import laws of the united states and other countries.",You must follow U.S. and other countries' laws when using the service.
we may assign our rights and obligations under these terms.,The company can pass on its rights and responsibilities from these terms to someone else.
"company, in its sole discretion, may from time to time impose limits on the ability to sell content via the services.",The company can limit how much content you can sell.
you expressly waive any rights you may have under california civil code 1542 as well as any other statute or common law principles that would otherwise limit the coverage of this release to include only those claims which you may know or suspect to exist in your favor at the time of agreeing to this release,"By agreeing to these terms, you won't hold the company liable for things you might not know or expect."
"if you are accessing or using our services on behalf of another person or entity, you represent that you are authorized to accept these terms on that person or entity s behalf and that the person or entity agrees to be responsible to us if you or the other person or entity violates these terms","If you're using the service for someone else, you need their permission and they have to follow the terms too."
"while the company attempts to make your access to and use of our services safe, we cannot and do not represent or warrant that our services or servers are free of viruses or other harmful components.",The company doesn't promise that the service won't have harmful things like viruses.
"note that section 16 contains a binding arbitration clause and class action waiver, which affect your legal rights.",There's a binding arbitration clause and class action waiver important for your legal rights in section 16.
"in addition, these rules do not create any private right of action on the part of any third party or any reasonable expectation that the services will not link to any content that is prohibited by such rules.",The company’s rules don't give people the right to expect the service to avoid linking to banned content.
you will not indicate that you are associated with company in connection with any of your modifications or distributions of this open source software.,You can’t suggest you’re part of the company when you change or give out the software from this service.
you may also litigate a dispute in the small claims court located in the county where you reside if the dispute meets the requirements to be heard in small claims court.,Sometimes you might be able to take a small claim to court instead of arbitration.
"arbitration will be conducted confidentially by a single arbitrator in accordance with the rules of the judicial arbitration and mediation services ( jams ), which are hereby incorporated by reference.","Arbitration will be private with one person deciding the case, using JAMS rules."
"if you do not agree to these terms of service, do not access or use the services","If you don't agree with these terms, don't use the service."
"if you are under 18 years of age (or the age of legal majority where you live), you may only access or use our services under the supervision of a parent or legal guardian who agrees to be bound by these terms.","If you're under 18, you need to be supervised by a guardian to use the service."
"binding arbitration except for any disputes, claims, suits, actions, causes of action, demands or proceedings (collectively, disputes ) in which either party seeks to bring an individual action in small claims court or seeks injunctive or other equitable relief for the alleged unlawful use of intellectual property, including, without limitation, copyrights, trademarks, trade names, logos, trade secrets or patents, you and the company (a) waive your and the company s respective rights to have any and all disputes arising from or related to these terms or the services resolved in a court, and (b) waive your and the company s respective rights to a jury trial.",You're giving up your right to go to court and have a jury trial for most disputes about these terms or the service.
"the limitations set forth in this section will not limit or exclude liability for the gross negligence, fraud or intentional misconduct of the company or other company parties or for any other matters in which liability cannot be excluded or limited under applicable law.",The company won’t limit its liability for things like fraud that law doesn’t allow it to.
"you are solely responsible for resolving any disputes with users of your content, including any chargebacks or refunds, and for any and all injuries, illnesses, damages, claims, liabilities and costs that are caused in whole or in part by you or your content.","You have to handle any disputes with your content's users yourself, including refunds."
"by using the software or service, you represent and warrant that you are not located in any such country or on any such list.",You say you're not in a country or on a list that the U.S. says you can't send things to when you use the service.
disclaimers your use of our services is at your sole risk.,Using the service is solely your own risk to take.
"indemnification to the fullest extent permitted by applicable law, you will indemnify, defend, and hold harmless the company and our officers, directors, agents, partners and employees (individually and collectively, the company parties ) from and against any loss, liability, claim, demand, damages, expenses or costs (including attorney s fees) ( claims ) arising out of or related to (a) your access to or use of our services.",You have to defend the company if someone brings a claim against it because of your use of the service.
"your notice must include (a) your name, postal address, email address and telephone number, (b) a description in reasonable detail of the nature or basis of the dispute, and (c) the specific relief that you are seeking.",You must give certain details when telling the company about a dispute.
(b) your content or any name that you have reserved.,You are the one responsible if there’s a problem with your content or the names you've used.
"or (d) your violation, misappropriation or infringement of any rights of another (including intellectual property rights or privacy rights).",You have to pay for any legal issues caused by breaking these terms or others’ rights.
"instead, you and the company will arbitrate disputes through binding arbitration (which is the referral of a dispute to one or more persons charged with reviewing the dispute and making a final and binding determination to resolve it instead of having the dispute decided by a judge or jury in court).","Instead of going to court, you'll settle disputes by arbitration, where someone will make a final choice."
eligibility you must be at least 13 years of age to access or use our services.,You need to be at least 13 years old to use the services.
"termination or suspension notwithstanding anything contained in these terms, we reserve the right, without notice and in our sole discretion, to terminate this agreement or suspend your right to access the services.",The company can stop you from using the services at any time without warning.
"(ii) attempt to bypass or circumvent measures employed to prevent or limit access to the content, including attempting to defeat any encryption.","You can’t get around restrictions to access content, especially encrypted content."
