Highlight,Summary
"additionally, your dealings with or participation in promotions of advertisers found on goodreads, including payment and delivery of goods, and any other terms (such as warranties) are solely between you and such advertisers.",Any deals you make with advertisers on Goodreads are your responsibility.
"(iv) your violation of any law, rule or regulation of the united states or any other country.",You could be in trouble for breaking the law or these terms.
please contact us with any questions regarding this agreement.,"If you have questions, you should contact Goodreads."
"this agreement applies to all visitors, users, and others who access the service (users).",Anyone who uses Goodreads must follow this agreement.
"no waiver of any term of this agreement shall be deemed a further or continuing waiver of such term or any other term, and goodreads failure to assert any right or provision under this agreement shall not constitute a waiver of such right or provision.",Failing to enforce parts of this agreement does not mean Goodreads gives up those rights.
"if you submit user content via the my writing or ebook features, our terms of use for writers apply to that user content.",Posting your writing comes with additional rules.
"(ii) your violation of any term of this agreement, including without limitation your breach of any of the representations and warranties above.",Breaking these rules can get you in trouble.
"ads blog api connect 2020 goodreads, inc","This is a part of the legal footer, doesn't contain key terms."
"this license does not include any resale or commercial use of any part of the service, or its contents.",You can't sell or make money from any part of Goodreads.
your account gives you access to the services and functionality that we may establish and maintain from time to time and in our sole discretion.,Creating an account lets you use Goodreads features.
your continued use of the service after any such changes constitutes your acceptance of the revised agreement.,"If you keep using Goodreads after they update these terms, it means you agree to the new ones."
the licenses granted by us terminate if you do not comply with this agreement.,"If you break this agreement, Goodreads' permissions to you stop."
and that you will indemnify goodreads for all claims resulting from content you supply.,You promise to cover Goodreads' losses if your content gets them into trouble.
you represent and warrant that you own or otherwise control all of the rights to the content that you post.,You must have the rights to the content you post on Goodreads.
"welcome to goodreads.com, the website and online service of goodreads llc (together with its affiliates, goodreads we, or us).",This introduces Goodreads' official website and says it's part of a larger company.
the service is subject to scheduled and unscheduled service interruptions.,Goodreads might not work from time to time.
"you agree that goodreads will not be liable to you for any interruption of the service, delay or failure to perform.",Goodreads won't be in trouble if the service is down or not performing well.
use of the goodreads content or materials on the service for any purpose not expressly permitted by this agreement is strictly prohibited.,Only use the content on Goodreads as allowed by this agreement.
"you may not use a false e-mail address, impersonate any person or entity, or otherwise mislead as to the origin of content.",You must use your real email address and not pretend to be someone else when posting content.
"however, there are no refunds for cancellation.","If you cancel your Goodreads membership, you won't get your money back."
you expressly agree that your use of the service is at your sole risk.,Using Goodreads is your choice and at your own risk.
"goodreads does not warrant that the service, information, content, materials, products (including software) or other services included on or otherwise made available to you through the service, goodreads servers or electronic communications sent from goodreads are free of viruses or other harmful components.",Goodreads isn't promising that everything on their site is completely safe or virus-free.
"goodreads may add new services for additional fees and charges, or amend fees and charges for existing services, at any time in its sole discretion.",Goodreads can change fees or introduce new charges whenever it wants.
"any collection and use of any book listings, descriptions, reviews or other material included in the service.",You shouldn't use something from Goodreads for your own product descriptions or reviews.
"to access certain features of the service, though, including creating bookshelves to organize what youve read, posting book reviews, and commenting on other members reviews, you will need to register with goodreads and create a member account.",You'll need to register to use certain features like bookshelves and posting reviews.
you may use the service only as permitted by law.,Follow the law when you use Goodreads.
"by submitting any idea, you agree that your disclosure is gratuitous, unsolicited and without restriction and will not place goodreads under any fiduciary or other obligation, and that we are free to use the idea without any additional compensation to you, and/or to disclose the idea on a non-confidential basis or otherwise to anyone.",Goodreads can use your suggestions freely.
you expressly relieve goodreads from any and all liability arising from your use of any third-party website or services or third party owned content.,Goodreads isn't responsible for what happens if you use other services or sites.
"if you are under 18 years of age you may use the service only if you either are an emancipated minor or possess legal parental or guardian consent, and are fully able and competent to enter into the terms, conditions, obligations, affirmations, representations, and warranties set forth in this agreement, and to abide by and comply with this agreement.","You must be an adult, emancipated minor, or have adult consent to agree to these terms."
"goodreads reserves the right to monitor, reject and/or remove any user content at any time.",Goodreads can remove or reject your posts anytime.
"goodreads will not be liable for any damages of any kind arising from the use of the service, or from any information, content, materials, products (including software) or other services included on or otherwise made available to you through the service, including, but not limited to direct, indirect, incidental, punitive, and consequential damages, unless otherwise specified in writing.",Goodreads isn't to blame for any bad experiences or damage from using Goodreads.
"by accessing or using the goodreads services, website and software provided through or in connection with the service (service), you signify that you have read, understood, and agree to be bound by this terms of use agreement, the goodreads privacy policy, the amazon.com conditions of use, and the other applicable rules, policies and terms posted on the goodreads.com website or provided with the service (collectively, this agreement), whether or not you are a registered user of our service.","By using Goodreads, you're legally bound by this entire document."
"you are responsible for maintaining the confidentiality of your account and password and for restricting access to your account, and you agree to accept responsibility for all activities that occur under your account or password.","Keep your account and password safe, and you're in trouble if someone abuses them."
"or (vi) any other party s access and use of the service with your unique username, password or other appropriate security code.",You're in trouble if someone misuses your account.
"third-party websites, advertisers or services goodreads may contain links to third-party websites, advertisers, or services that are not owned or controlled by goodreads.",Goodreads isn't responsible for what's on other sites linked from Goodreads.
"for example, goodreads may, but is not obligated to, reject and/or remove any user content that goodreads believes, in its sole discretion, violates these provisions.",Goodreads can remove content that doesn't follow their rules.
"you may not frame or utilize framing techniques to enclose any trademark, logo, or other proprietary information (including images, text, page layout, or form) of goodreads without our express written consent.",You can't use Goodreads's branding without their permission.
"as permitted under the terms of this agreement, goodreads has the right at any time for any reason or no reason to suspend or terminate your account, terminate this agreement, and/or refuse any and all current or future use of the service without notice, refund, obligation, or liability to you.",Goodreads can cancel your account for any reason with no need to tell you or pay you back.
"user content some areas of the service may allow users to upload, publish, display, link to or otherwise make available (hereinafter, post) reviews, comments, questions, highlights, and other information including users names, voices and likenesses (user content).",This talks about the types of content users can post on Goodreads.
"goodreads shall have no liability for your interactions with other users, or for any user s action or inaction.",Bad interactions with others on Goodreads aren't Goodreads' fault.
goodreads takes no responsibility and assumes no liability for any user content that you or any other users or third parties post or send over the service.,Goodreads isn't responsible for what users post.
we reserve the right to amend this agreement at any time in our sole discretion by posting the revised agreement on the goodreads.com website.,Goodreads can change these terms whenever it wants.
"you agree not to post user content that is illegal , obscene, threatening, defamatory, invasive of privacy, infringing of intellectual property rights (including publicity rights), or otherwise injurious to third parties or objectionable, and does not consist of or contain software viruses, political campaigning, commercial solicitation, chain letters, mass mailings, or any form of spam or unsolicited commercial electronic messages.","Don't post harmful, illegal, or spam content."
"eligibility this service is intended solely for users who are thirteen (13) years of age or older, and any registration, use or access to the service by anyone under 13 is unauthorized, unlicensed, and in violation of this agreement.",You must be at least 13 to use Goodreads.
"any dispute or claim arising from or relating to this agreement or a kindle, any reading application, the software, the digital content or the service is subject to the binding arbitration , governing law, disclaimer of warranties, limitation of liability and all other terms in the amazon.com conditions of use.",Disputes about these terms will be handled by binding arbitration.
certain aspects of the service may be provided for a fee or other charge.,Some parts of Goodreads require you to pay.
you may cancel your goodreads account at any time.,You can cancel your account anytime.
"if you elect to use paid aspects of the service, you agree to the pricing, payment and billing policies applicable to such fees and charges, posted at the website.","If you pay for something on Goodreads, you agree to their prices."
"you understand and acknowledge that you may be exposed to user content that is inaccurate, offensive, indecent, or objectionable, and you agree that goodreads shall not be liable for any damages you allege to incur as a result of such user content.",You can't sue Goodreads if you find something offensive on the site.
"subject to your compliance with this agreement and your payment of any applicable fees, we grant you a limited, non-exclusive, non-transferable, non-sublicensable license to access and make personal and non-commercial use of the service.",You can use Goodreads personally but not for business without permission.
goodreads is not responsible for any public display or misuse of your user content.,Goodreads isn't to blame if your posts are shared or used by others publicly.
"goodreads may provide tools for you to remove some user content, but does not guarantee that all or any user content will be removable.",Goodreads doesn't promise you can remove all of your posts from the site.
"indemnity you agree to defend, indemnify and hold harmless goodreads and its subsidiaries, agents, managers, and other affiliated companies, and their employees, contractors, agents, officers and directors, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses (including but not limited to attorneys fees) arising from: (i) your use of and access to the service, including any data or content transmitted or received by you.",You need to pay for any legal problems you cause on Goodreads.
"you acknowledge that goodreads has the perpetual and irrevocable right to delete any or all of your content and data from goodreadss servers and from the service, whether intentionally or unintentionally, and for any reason or no reason, without any liability of any kind to you or any other party.",Your content can be deleted by Goodreads anytime.
"in order to protect our members from unsolicited advertising or solicitation, goodreads reserves the right to restrict the number of communications that a member may send to other members in any 24-hour period to a number that goodreads deems appropriate in its sole discretion.",Goodreads can limit how much you message other users.
you are solely responsible for your interactions with other goodreads users.,Interactions with other Goodreads users are your responsibility.
"all rights not expressly granted to you in this agreement are reserved and retained by us or our licensors, suppliers, publishers, rightsholders, or other content providers.",All rights not given to you specifically are Goodreads' rights.
"disclaimers of warranties and limitation of liability the service and all information, content, materials, products (including software) and other services included on or otherwise made available to you through the service are provided on an as is and as available basis, unless otherwise specified in writing.","Goodreads is provided as-is, and they're not legally responsible for most issues."
"goodreads may permanently or temporarily terminate, suspend, or otherwise refuse to permit your access to the service without notice and liability for any reason, including if in goodreads sole determination you violate any provision of this agreement, or for no reason.",Goodreads can cut off your access for any or no reason.
that use of the content you supply does not violate this policy and will not cause injury to any person or entity.,You agree that Goodreads can use what you provide without causing harm.
all aspects of the service are subject to change or elimination at goodreads s sole discretion.,Goodreads can change or get rid of services when it wants to.
